,Filename,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaker_Rate,speaker_boring,speaker_lively,speaker_persuasive,speaker_reasonable,speaker_trustworthy,speaker_logical,rater_feel_topic,speaker_trusts_their_partner
24,U,-0.468743,-0.6084478,0.12903996,-1.4847072,-0.3947659,-1.5410015,-1.092974,-1.3036431,0.19569787,0.86332404,0.51016246,-0.0271506,0.21236749,1.49795721,-0.5290992,0.40899195,0.14851208,4,2,3,3,3,3,3,4
25,V,0.09913254,-0.4074984,0.62112064,-0.1321693,-0.0393712,-0.0766873,-0.1494646,-0.4886768,-3.8405687,-1.9520941,-2.4575118,3.96647567,-2.0295864,-0.7644051,-0.4785784,0.33467268,-0.7914974,2,4,3,3,3,3,5,5
26,W,-0.6523926,0.07498238,0.02869779,-1.3074484,-0.5957438,-1.181208,-0.7750507,-1.4182025,0.18481588,-1.5862846,-2.0387532,-0.1049338,-2.1382444,-0.3005341,-0.2971309,0.09484634,-1.6833882,2,4,4,4,4,4,4,1
27,X,-0.7307304,-0.25562,-1.9981933,0.3517974,-0.9490043,1.04717247,-0.2599737,0.64015041,0.3671356,-0.2452901,-0.2600218,-0.4091671,0.14958724,0.31487847,0.65002614,-1.3561921,-0.0020963,4,2,3,3,3,3,2,5
28,AA,-0.5851269,-0.5139296,-0.1635014,-0.5166893,0.43150323,-0.7545307,0.4946995,0.59453451,0.32004885,0.66963218,0.70457874,-0.2340913,0.63118746,0.20611933,0.77938881,0.69682154,0.69554816,3,3,3,3,3,3,3,4
29,AB,-0.7963936,0.531249,0.56130271,-0.4013174,1.16009826,-0.368171,2.13275838,-2.1820501,0.33292405,0.85653559,1.00252268,-8.63E-05,-0.8312335,-0.8609525,-0.2608713,0.52786167,-2.0544727,4,4,3,3,2,3,2,2
30,AC,-0.4693078,-0.2343323,-0.7651355,1.12082915,-0.6417745,1.40956377,-0.2998187,0.44433266,0.31558889,-0.1961788,-0.2108044,-0.3215981,0.03534458,-1.5914554,0.29262368,0.38316826,1.34843693,4,2,3,3,4,3,4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
